case_id,dataset_id,input,reference,old_output,new_output,old_error,new_error,old_finish_reason,new_finish_reason,both_completed,old_exact_match,new_exact_match,old_edit_similarity,new_edit_similarity,delta_edit_similarity,old_chrf,new_chrf,delta_chrf,old_wer,new_wer,delta_wer,old_seconds,new_seconds
V12,voiceink-validation,paragraph break the tablet layout is usable in portrait period in landscape the sticky footer overlaps the final form field by twenty four pixels period rotation does not recalculate it,"The tablet layout is usable in portrait. In landscape, the sticky footer overlaps the final form field by 24 pixels. Rotation does not recalculate it.","The tablet layout is usable in portrait mode. In landscape mode, the sticky footer overlaps the final form field by 24 pixels. Rotation does not recalculate.",The tablet layout is usable in portrait and landscape. The sticky footer overlaps the final form field by 24 pixels. Rotation does not recalculate it.,,,stop,stop,True,False,False,0.9576547231270358,0.9733333333333334,0.015678610206297572,0.9266417185260976,0.9027577914451161,-0.023883927080981415,0.24,0.16,-0.07999999999999999,0.6232521249999081,0.6273594579997734
V13,voiceink-validation,can you check whether the variance calculation uses n or n minus one results differ from the published table by point zero three before correcting the published appendix,Can you check whether the variance calculation uses n or n−1? Results differ from the published table by 0.03. Check this before correcting the published appendix.,Can you check whether the variance calculation uses n or n-1 results differ from the published table by 0.3 before correcting the published appendix?,Can you check whether the variance calculation uses n or n minus one? Results differ from the published table by 0.3 before correcting the published appendix.,,,stop,stop,True,False,False,0.9358974358974359,0.9221183800623052,-0.013779055835130727,0.8223675230464557,0.8516110385088289,0.02924351546237325,0.23076923076923078,0.23076923076923078,0.0,0.5947980830001143,0.655062541999996
V14,voiceink-validation,during the quarterly structural survey inspection at pier two found minor scaling above the water line comma no exposed reinforcement and no measurable change since march,"During the quarterly structural survey, inspection at Pier 2 found minor scaling above the waterline, no exposed reinforcement, and no measurable change since March.","During the quarterly structural survey inspection at Pier Two, minor scaling was found above the water line. No exposed reinforcement was detected, and no measurable change was observed since March.","During the quarterly structural survey inspection at Pier Two, found minor scaling above the water line, no exposed reinforcement, and no measurable change since March.",,,stop,stop,True,False,False,0.859504132231405,0.978978978978979,0.11947484674757403,0.780104442821791,0.9227448467995751,0.1426404039777841,0.5416666666666666,0.16666666666666666,-0.375,0.6107095830002436,0.6234821660000307
V15,voiceink-validation,thirty minute discharge test reading colon battery bank voltage was twenty five point six at rest comma then dropped to twenty two point nine under inverter load,"30-minute discharge-test reading: Battery-bank voltage was 25.6 at rest, then dropped to 22.9 under inverter load.","Thirty-minute discharge test reading:
- Colon battery bank voltage at rest: 25.6 V
- Under inverter load: 22.9 V","Thirty-minute discharge test reading:
- Battery bank voltage at rest: 25.6 V
- Battery bank voltage under inverter load: 22.9 V",,,stop,stop,True,False,False,0.7079646017699115,0.7302904564315353,0.022325854661623845,0.5223198321203212,0.5407612952762484,0.018441463155927207,1.0,1.0,0.0,0.6282085409998217,0.7481411660000958
V16,voiceink-validation,dear nina before the accessibility review meeting note that the attached screen reader transcript timestamps correspond to build one eighty four not the latest beta,"Dear Nina,

Before the accessibility-review meeting, note that the attached screen-reader transcript timestamps correspond to Build 184, not the latest beta.","Dear Nina,

Before the accessibility review meeting, I am attaching the screen reader transcript. The timestamps correspond to Build 1.84, not the latest beta.","Dear Nina,

Before the accessibility review meeting, note that the attached screen reader transcript timestamps correspond to build 1.84, not the latest beta.",,,stop,stop,True,False,False,0.9050632911392404,0.9777777777777777,0.0727144866385373,0.7507393330848257,0.8680909552798406,0.11735162219501494,0.47619047619047616,0.2857142857142857,-0.19047619047619047,0.6104995409996263,0.690527917000054
V17,voiceink-validation,dear garden club saturdays seed swap moves indoors to room four because rain is likely period label packets with variety and harvest year cheers comma monica,"Dear Garden Club,

Saturday’s seed swap moves indoors to Room 4 because rain is likely. Label packets with the variety and harvest year.

Cheers,
Monica","Dear Garden Club,
Saturdays seed swap moves indoors to Room 4 because rain is likely.
Label packets with variety and harvest year.
Cheers,
Monica","Dear Garden Club,

Saturdays seed swap moves indoors to Room Four because rain is likely.

Please label packets with variety and harvest year.

Cheers,
Monica",,,stop,stop,True,False,False,0.9696969696969697,0.9354838709677421,-0.03421309872922762,0.9246787582623088,0.8450737303585424,-0.07960502790376645,0.2916666666666667,0.20833333333333334,-0.08333333333333334,0.6663061659996856,0.845120124999994
V18,voiceink-validation,event recap colon one hundred eighty four attendees checked in and seventeen walk ins paid at the door period the west room session filled first but but no one was turned away,"Event recap: 184 attendees checked in, and 17 walk-ins paid at the door. The West Room session filled first, but no one was turned away.","184 attendees checked in. 17 walk-ins paid at the door. The West Room session filled first, but no one was turned away.","Event recap: 184 attendees checked in, and 17 walked in. Paid at the door. The West Room session filled first, but no one was turned away.",,,stop,stop,True,False,False,0.9254901960784313,0.9708029197080292,0.04531272362959793,0.8554276602248106,0.9262783097987256,0.07085064957391496,0.16,0.12,-0.04000000000000001,0.5842808750003314,0.7423647919999894
V19,voiceink-validation,our pickup window was one to three and and no driver came can you reschedule for tomorrow morning without creating a second charge question mark there are seven boxes,"Our pickup window was 1:00 to 3:00, and no driver came. Can you reschedule for tomorrow morning without creating a second charge? There are 7 boxes.",Our pickup window is one to three. No driver came. Can you reschedule for tomorrow morning? Without creating a second charge question mark. There are seven boxes.,"Our pickup window was one to three, and no driver came. Can you reschedule for tomorrow morning without creating a second charge? There are seven boxes.",,,stop,stop,True,False,False,0.8322580645161292,0.9266666666666665,0.09440860215053737,0.7079083537827741,0.8605101330453455,0.15260177926257146,0.4230769230769231,0.11538461538461539,-0.3076923076923077,0.6215953749997425,0.6447048750001159
V20,voiceink-validation,lock report colon rear office lever sticks when pulled upward latch works from inside but but key rotation outside stops halfway do not force it,"Lock report: The rear-office lever sticks when pulled upward. The latch works from inside, but key rotation outside stops halfway. Do not force it.",Lock report: Rear office lever sticks when pulled upward. Latch works from inside but key rotation outside stops halfway. Do not force it.,"Lock report: Rear office lever sticks when pulled upward. Latch works from inside, but key rotation outside stops halfway. Do not force it.",,,stop,stop,True,False,False,0.9473684210526316,0.951048951048951,0.003680529996319404,0.8329325293646995,0.8658507062443855,0.03291817687968601,0.20833333333333334,0.16666666666666666,-0.041666666666666685,0.5774166659998627,0.6079977499998677
V21,voiceink-validation,please ask the bus station whether the midnight coach has under floor luggage storage and um whether bicycles need a separate reservation question mark for next friday night,Please ask the bus station whether the midnight coach has underfloor luggage storage and whether bicycles need a separate reservation for next Friday night.,Please ask the bus station whether the midnight coach has under-floor luggage storage and whether bicycles need a separate reservation for next Friday night.,Please ask the bus station whether the midnight coach has under-floor luggage storage and whether bicycles need a separate reservation. Question mark for next Friday night.,,,stop,stop,True,False,False,0.9968051118210862,0.951219512195122,-0.0455855996259642,0.9689607622064027,0.9297610552340997,-0.03919970697230302,0.041666666666666664,0.16666666666666666,0.125,0.529111291999925,0.666688540999985
V22,voiceink-validation,ask operations why the overnight shipment went to phoenix instead of tucson comma include tracking number nine three six zero zero one and request a corrected delivery estimate,"Ask Operations why the overnight shipment went to Phoenix instead of Tucson, include tracking number 936001, and request a corrected delivery estimate.",Asks operations why the overnight shipment went to Phoenix instead of Tucson. Include tracking number 936-0001 and request a corrected delivery estimate.,Ask operations why the overnight shipment went to Phoenix instead of Tucson. Include tracking number 936-0001 and request a corrected delivery estimate.,,,stop,stop,True,False,False,0.9671052631578947,0.9702970297029703,0.0031917665450755806,0.8508481395506061,0.8569209910259797,0.00607285147537362,0.22727272727272727,0.18181818181818182,-0.04545454545454544,0.6278388340001584,0.6217294590001075
V23,voiceink-validation,the budget deck accidentally labels fiscal year twenty twenty six as calendar year twenty twenty six period the underlying numbers are fiscal and the footnote uses the same incorrect label,The budget deck accidentally labels fiscal year 2026 as calendar year 2026. The underlying numbers are fiscal-year figures. The footnote uses the same incorrect label.,"The budget deck accidentally labels fiscal year 2026 as the calendar year 2026 period. The underlying numbers are fiscal, and the footnote uses the same incorrect label.","The budget deck accidentally labels fiscal year 2026 as calendar year 2026. The underlying numbers are fiscal, and the footnote uses the same incorrect label.",,,stop,stop,True,False,False,0.9107142857142857,0.9415384615384617,0.03082417582417596,0.8362468363805271,0.8803745271713368,0.04412769079080969,0.24,0.12,-0.12,0.668156541999906,0.6672150420004073
V24,voiceink-validation,the monday notes should say decision deferred pending tax advice comma not decision denied and the follow up owner is casey from treasury before circulating the revised record,"The Monday notes should say, “Decision deferred pending tax advice,” not “Decision denied,” and the follow-up owner is Casey from Treasury. Circulate the revised record afterward.","The Monday notes should say ""decision deferred pending tax advice"" and not ""decision denied."" The follow-up owner is Casey from Treasury before circulating the revised record.","The Monday notes should say “decision deferred pending tax advice,” not “decision denied,” and the follow-up owner is Casey from Treasury before circulating the revised record.",,,stop,stop,True,False,False,0.8587570621468926,0.9183098591549296,0.05955279700803695,0.7065446087362008,0.8078436397523352,0.10129903101613436,0.5,0.3076923076923077,-0.1923076923076923,0.5912159159997827,0.7206499159997293
V25,voiceink-validation,the service report lists priority one downtime as forty eight minutes the incident timeline supports only thirty eight because monitoring recovered earlier and customer success disputes the longer figure,The service report lists Priority 1 downtime as 48 minutes. The incident timeline supports only 38 minutes because monitoring recovered earlier. Customer Success disputes the longer figure.,"The service report lists priority one downtime as 48 minutes. The incident timeline supports only 38 minutes, because monitoring recovered earlier and customer success disputes the longer figure.","The service report lists priority one downtime as 48 minutes. The incident timeline supports only 38 because monitoring recovered earlier, and customer success disputes the longer figure.",,,stop,stop,True,False,False,0.9583333333333335,0.9361702127659575,-0.022163120567376016,0.8570319235616769,0.825178938738624,-0.03185298482305288,0.25925925925925924,0.25925925925925924,0.0,0.6407677090001016,0.8350139169997419
V26,voiceink-validation,the investigation scope covers expense approvals from january through april it does not include vendor selection or contract negotiation unless new evidence expands the review,The investigation scope covers expense approvals from January through April. It does not include vendor selection or contract negotiation. New evidence could expand the review.,The investigation scope covers expense approvals from January through April. It does not include vendor selection or contract negotiation unless new evidence expands the review.,The investigation scope covers expense approvals from January through April. It does not include vendor selection or contract negotiation unless new evidence expands the review.,,,stop,stop,True,False,False,0.9518413597733713,0.9518413597733713,0.0,0.8836023501462565,0.8836023501462565,0.0,0.2,0.2,0.0,0.544365000000198,0.7543280410000079
V27,voiceink-validation,following the latest litigation update the controller approved a two hundred fifty thousand reserve comma subject to receiving counsels final estimate before close by noon tomorrow,"Following the latest litigation update, the Controller approved a $250,000 reserve, subject to receiving counsel’s final estimate before close. Counsel’s estimate is due by noon tomorrow.","Following the latest litigation update, the controller approved a reserve of $250,000, subject to receiving counsel's final estimate before close by noon tomorrow.","Following the latest litigation update, the controller approved a $250,000 reserve, subject to receiving counsel. Final estimate before close by noon tomorrow.",,,stop,stop,True,False,False,0.8571428571428572,0.9017341040462428,0.04459124690338556,0.7420321335723352,0.7912526923041164,0.04922055873178122,0.38461538461538464,0.3076923076923077,-0.07692307692307693,0.6352480420000575,0.6871394999998302
V28,voiceink-validation,would you send the customer the maintenance window in both eastern and greenwich mean time comma make clear that service may be intermittent before the maintenance notice is translated,"Would you send the customer the maintenance window in both Eastern Time and Greenwich Mean Time, and make clear that service may be intermittent? The maintenance notice will be translated afterward.",Would you send the customer the maintenance window in both Eastern and Greenwich Mean Time? Make sure to clarify that service may be intermittent before the maintenance notice is translated.,Would you send the customer the maintenance window in both Eastern and Greenwich Mean Time? Make clear that service may be intermittent before the maintenance notice is translated.,,,stop,stop,True,False,False,0.865979381443299,0.8941798941798942,0.028200512736595185,0.7327145568021919,0.7735029588958372,0.040788402093645315,0.41935483870967744,0.3548387096774194,-0.06451612903225806,0.6087084999999206,0.7138920839997809
V29,voiceink-validation,who owns the response to the accessibility questionnaire question mark product answered the first section but legal and security sections remain blank before friday afternoons submission deadline,"Who owns the response to the accessibility questionnaire? Product answered the first section, but the Legal and Security sections remain blank. Friday afternoon’s submission deadline is approaching.",Who owns the response to the accessibility questionnaire? The product answered the first section but legal and security sections remain blank before Friday afternoons submission deadline.,"Who owns the response to the accessibility questionnaire?

Product answered the first section, but legal and security sections remain blank before Friday afternoons submission deadline.",,,stop,stop,True,False,False,0.8987012987012988,0.9086161879895562,0.009914889288257456,0.7479774495427624,0.800225730297492,0.05224828075472965,0.4444444444444444,0.3333333333333333,-0.1111111111111111,0.5860881660000814,0.6744744590000664
V30,voiceink-validation,please route the exception request to ethics and compliance comma not employee relations and attach the original disclosure from february because the reporting path was incorrect,"Please route the exception request to Ethics and Compliance, not Employee Relations, and attach the original disclosure from February. The reporting path was incorrect.",Please route the exception request to Ethics and Compliance. Do not attach the original disclosure from February. The reporting path was incorrect.,"Please route the exception request to ethics and compliance, and attach the original disclosure from February because the reporting path was incorrect.",,,stop,stop,True,False,False,0.9142857142857143,0.877742946708464,-0.03654276757725028,0.8284677916833885,0.7555488210815176,-0.07291897060187091,0.20833333333333334,0.3333333333333333,0.12499999999999997,0.5227159999999458,0.6176424159998533
V31,voiceink-validation,can we use the clients logo in the investor presentation question mark the marketing consent covers our website but does not mention fundraising materials before marketing finalizes the presentation,Can we use the client’s logo in the investor presentation? The marketing consent covers our website but does not mention fundraising materials. Marketing has not finalized the presentation.,"Can we use the client's logo in the investor presentation? The marketing consent covers our website, but does not mention fundraising materials before the presentation is finalized.","Can we use the clients logo in the investor presentation? The marketing consent covers our website, but does not mention fundraising materials before marketing finalizes the presentation.",,,stop,stop,True,False,False,0.8810810810810811,0.9414893617021276,0.06040828062104653,0.8183175478244283,0.8356766595341927,0.01735911170976434,0.32142857142857145,0.25,-0.07142857142857145,0.5978559999998652,0.744246917000055
V32,voiceink-validation,could you request wheelchair access for the site tour comma including the production floor and emergency assembly area not only the lobby because the full group will participate,"Could you request wheelchair access for the site tour, including the production floor and emergency-assembly area, not only the lobby? The full group will participate.","Could you please request wheelchair access for the site tour, including the production floor and emergency assembly area, not only the lobby, because the full group will participate?","Could you request wheelchair access for the site tour, including the production floor and emergency assembly area? Not only the lobby because the full group will participate.",,,stop,stop,True,False,False,0.9340974212034383,0.9501466275659824,0.016049206362544144,0.8791639271831369,0.8746480834149735,-0.004515843768163386,0.28,0.28,0.0,0.6375116250001156,0.6544635419995757
V33,voiceink-validation,for all three finalists this week ask procurement for the evaluation rubric before vendor presentations we should not change weighting after seeing demonstrations before scoring begins,"For all 3 finalists this week, ask Procurement for the evaluation rubric before vendor presentations. We should not change weighting after seeing demonstrations. Finalize the rubric before scoring begins.","For all three finalists this week, ask procurement for the evaluation rubric before vendor presentations. We should not change weighting after seeing demonstrations before scoring begins.","For all three finalists this week, ask procurement for the evaluation rubric before vendor presentations. We should not change weighting after seeing demonstrations before scoring begins.",,,stop,stop,True,False,False,0.9258312020460358,0.9258312020460358,0.0,0.842586499297147,0.842586499297147,0.0,0.20689655172413793,0.20689655172413793,0.0,0.5923856249996788,0.8658806250000453
V34,voiceink-validation,before approving reimbursement can you change coding from client entertainment to employee meal question mark all attendees were internal and no customer joined in the expense system,"Before approving reimbursement, can you change coding from Client Entertainment to Employee Meal? All attendees were internal, and no customer joined. Make the change in the expense system.","Before approving reimbursement, can you change the coding from ""Client Entertainment"" to ""Employee Meal""? All attendees were internal and no customer joined in the expense system.","Before approving reimbursement, can you change coding from “client entertainment” to “employee meal”? All attendees were internal, and no customer joined in the expense system.",,,stop,stop,True,False,False,0.9293478260869565,0.9205479452054794,-0.008799880881477096,0.802222552902481,0.7806943429394083,-0.021528209963072698,0.35714285714285715,0.2857142857142857,-0.07142857142857145,0.5895909169998959,0.7550066670000888
V35,voiceink-validation,inspection item bullet point north anchor secure bullet point south anchor needs re torque bullet point conduit label missing near junction box four new line photos saved in folder seven,"Inspection items:
- North anchor secure
- South anchor needs retorquing
- Conduit label missing near Junction Box 4

Photos are saved in Folder 7.","- Inspection item: North anchor secure
- Inspection item: South anchor needs re-torque
- Inspection item: Conduit label missing near junction box
- Photos saved in folder 7","- Inspection item: North anchor secure
- Inspection item: South anchor needs re-torque
- Inspection item: Conduit label missing near junction box
- Photos saved in folder seven",,,stop,stop,True,False,False,0.8113207547169812,0.7950310559006211,-0.01628969881636011,0.6319312217375971,0.6182020763592904,-0.013729145378306717,0.5909090909090909,0.5909090909090909,0.0,0.675321791999977,0.7825559590000921
V36,voiceink-validation,sample c twelve was thawed for approximately eighteen minutes comma returned to minus eighty and flagged for sensitivity analysis period no visible leakage occurred afterward,"Sample C12 was thawed for approximately 18 minutes, returned to −80°C, and flagged for sensitivity analysis. No visible leakage occurred afterward.","Sample C-12 was thawed for approximately 18 minutes, returned to -80°C, and flagged for sensitivity analysis. No visible leakage occurred afterward.","Sample C-12 was thawed for approximately 18 minutes, returned to -80°C, and flagged for sensitivity analysis. No visible leakage occurred afterward.",,,stop,stop,True,False,False,0.9898305084745763,0.9898305084745763,0.0,0.9315904583265516,0.9315904583265516,0.0,0.09523809523809523,0.09523809523809523,0.0,0.6100661669997862,0.7330769999998665
V37,voiceink-validation,for our final storage comparison write this technical question to the vendor colon what is the maximum sustained write rate with encryption enabled and raid six active question mark,"For our final storage comparison, write this technical question to the vendor: What is the maximum sustained write rate with encryption enabled and RAID 6 active?","For our final storage comparison, write this technical question to the vendor: ""What is the maximum sustained write rate with encryption enabled and 6 active RAID?""","For our final storage comparison, write this technical question to the vendor:

What is the maximum sustained write rate with encryption enabled and raid 6 active?",,,stop,stop,True,False,False,0.9631901840490797,0.9661538461538461,0.002963662104766396,0.9239799145192898,0.9503889299050193,0.026409015385729484,0.15384615384615385,0.038461538461538464,-0.11538461538461539,0.5931383749998531,0.7360217499999635
V38,voiceink-validation,for the production system prompt please turn the model instructions into a numbered priority list colon safety constraints first output schema second and style preferences third,"For the production system prompt, please turn the model instructions into a numbered priority list:
1. Safety constraints
2. Output schema
3. Style preferences","1. Safety Constraints
2. Output Schema
3. Style Preferences","For the production system prompt, please turn the model instructions into a numbered priority list:

1. Safety constraints
2. Output schema
3. Style preferences",,,stop,stop,True,False,False,0.5137614678899083,0.9968652037617555,0.4831037358718472,0.31853882136441686,1.0,0.6814611786355831,0.8571428571428571,0.09523809523809523,-0.7619047619047619,0.4025617500001317,0.7912377080001534
V39,voiceink-validation,class reminder colon the ecology quiz is next monday not this friday and chapters six through eight are included new line bring a pencil your field notebook and the calculator you used in lab,"Class reminder: The ecology quiz is next Monday, not this Friday, and Chapters 6 through 8 are included.
Bring a pencil, your field notebook, and the calculator you used in lab.","Reminder: The ecology quiz is next Monday, not this Friday. Chapters 6 through 8 are included. New line: Bring a pencil, your field notebook, and the calculator you used in lab.","The ecology quiz is next Monday, not this Friday, and chapters six through eight are included.

Bring a pencil, your field notebook, and the calculator you used in lab.",,,stop,stop,True,False,False,0.9265536723163842,0.9159420289855071,-0.010611643330877052,0.8890669156234174,0.8394737960514366,-0.04959311957198087,0.26666666666666666,0.23333333333333334,-0.033333333333333326,0.7063437080000767,0.6910283750003146
V40,voiceink-validation,can you ask the pool manager whether lane four will be open for lap swimming from six to seven tomorrow comma or is the regional team still using all the deep lanes question mark,"Can you ask the pool manager whether Lane 4 will be open for lap swimming from 6:00 to 7:00 tomorrow, or is the regional team still using all the deep lanes?",Can you ask the pool manager whether lane four will be open for lap swimming from 6 to 7 tomorrow? Or is the regional team still using all the deep lanes?,Can you ask the pool manager whether lane four will be open for lap swimming from six to seven tomorrow? Or is the regional team still using all the deep lanes?,,,stop,stop,True,False,False,0.9453376205787781,0.9148264984227129,-0.030511122156065218,0.812069348017544,0.7971313176336904,-0.014938030383853662,0.1935483870967742,0.1935483870967742,0.0,0.6435839999999189,0.6476532080000652
V41,voiceink-validation,dispatch this is unit forty six we have smoke showing from a detached garage at eight twelve birch lane no visible flames yet send one additional engine and advise police the driveway is blocked,"Dispatch, this is Unit 46. We have smoke showing from a detached garage at 812 Birch Lane. No visible flames yet. Send 1 additional engine, and advise police that the driveway is blocked.",Dispatch this is Unit 46. We have smoke showing from a detached garage at 8:12 Birch Lane. No visible flames yet. Send one additional engine and advise police. The driveway is blocked.,"Dispatch this is Unit 46. We have smoke showing from a detached garage at 8:12 Birch Lane. No visible flames yet.

Send one additional engine and advise police. The driveway is blocked.",,,stop,stop,True,False,False,0.9595687331536388,0.9516129032258065,-0.00795582992783228,0.8470664556923841,0.8470664556923841,0.0,0.21212121212121213,0.21212121212121213,0.0,0.7267203749997861,0.800058750000062
